,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Total Pop Census,Poverty Gap,Poverty Incidence,Poverty Severity,Adult illiteracy rate,Deprivation in economic provisioning,HPI,People not expected to survive age 40,Children <5 years malnourished,Without safe water,BCG3,DPT-HepB 1 3,DPT-HepB 2 3,DPT-HepB 3 3,Japenese Encephalitis 3,Measles 12-23 3,Measles 9-11 months 3,Polio13,Polio23,Polio33,TT 1 3,TT 2+ 3,TT23,Sanitation Coverage (%,Water Coverage Supply (%),HDI ,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Acute Flacid Paralysis,Chicken pox,Diptheria,Hepatatis-B,Measles,Mumps,Neonatal Tetanus,Rubella,Tetanus,Tuberculosis,Whooping cough,Alcoholism,Anxiety (Neurosis,"Conversive disorder
(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis
Achham,0.0,0.102036298388,0.58174904943,0.135157703407,0.00010097989335,0.0,0.00492082787977,0.0,0.00692100653651,0.00263712875325,0.000998147407341,0.000493247940593,0.00174384508131,0.162239734034,0.00100203124939,257477.0,0.127,0.472,0.047,54.92,51.76,46.68,0.095,0.592,0.4431,7676.0,0.0296686694346,0.0295793410674,0.0294434065955,0.0,0.000477712572385,0.0294434065955,0.0296686694346,0.0295793410674,0.0294434065955,0.00662195069851,0.0169879251351,0.00741037063505,7.41037063505e-05,0.000341816938989,1.46809229562e-06,0.000337894258516,1.55353682076e-05,0.0033595233749,5.43737887268e-05,0.00274976017275,2.33030523115e-05,0.0012195264043,0.0,3.10707364153e-05,4.2722262571e-05,0.000726278463707,3.88384205191e-06,0.0,0.0,0.000240798207219,6.21414728306e-05,3.49545784672e-05,0.00120787487814,0.000151469840025,0.00147974382178,0.000419454941606,1.94192102596e-05,0.000139818313869
Arghakhanchi,0.0,0.327664548251,0.193248056995,0.209019794365,0.00160399125648,6.57788212435e-05,0.00105752104922,0.0,0.193349255181,0.0347261577073,0.00897121923575,0.0279711787565,0.0,0.00113847959845,0.00118401878238,197632.0,0.069,0.288,0.024,34.43,27.24,27.37,0.0771,0.31,0.2348,4649.0,0.0247429566062,0.0232806428109,0.0237765139249,0.0,9.10783678756e-05,0.0233565414508,0.0248745142487,0.0233767810881,0.0237967535622,0.00609719073834,0.0111621599741,0.0114809342617,0.000233767810881,0.000419820676813,2.43887629534e-06,0.000389613018135,5.05990932642e-06,0.0,2.02396373057e-05,0.00333448024611,0.0,0.000612249028497,0.0,1.51797279793e-05,2.02396373057e-05,0.00262609294041,0.0,1.51797279793e-05,0.0,0.000237815738342,0.0,0.00028335492228,0.00193288536269,0.000161917098446,0.00135099579016,0.000101198186528,3.5419365285e-05,0.000333954015544
Baglung,4.46739361088e-05,0.1953851824,0.205600622457,0.263230000037,0.00116524516684,0.0,0.000926984174258,0.0,0.308175702591,0.0095639451553,0.00276233838273,0.0107217446661,0.0,0.00178695744435,0.000636603589551,268613.0,0.053,0.229,0.018,34.46,27.01,27.33,0.0852,0.429,0.1112,6612.0,0.0246041703119,0.0237181372458,0.0243621864913,0.0,0.0,0.0236101752335,0.0246041703119,0.0237181372458,0.0243621864913,0.0137484038375,0.00384568133337,0.0147275076039,0.000220838157498,0.000338293381184,1.77951178833e-06,0.000290380584707,3.72282800907e-06,2.60597960635e-05,1.11684840272e-05,0.00170877805616,0.0,0.000323886036789,0.0,1.86141400453e-05,3.72282800907e-06,0.00180929441241,1.11684840272e-05,0.000163804432399,1.48913120363e-05,0.000148913120363,0.0,0.000379728456925,0.00221135983739,0.000167527260408,0.00112429405874,0.00032016320878,0.000376005628916,0.000483967641179
Baitadi,5.18138845268e-05,0.185497692289,0.603898795526,0.0831533132986,0.00161021610376,0.000127541869604,0.0524994220759,0.0,0.00387009860581,0.000617780930896,8.36993519279e-05,0.000482267694442,0.000135513236455,0.066975424276,0.000996420856284,250898.0,0.123,0.457,0.046,45.15,45.38,39.58,0.0814,0.592,0.3157,6452.0,0.0256319301071,0.0255601878054,0.0255761305391,0.0,0.00157833063635,0.0240456281039,0.0244481821298,0.0252772042822,0.0255761305391,0.0074213425376,0.0129454997648,0.00698291736084,0.000101993638849,0.000357356375898,1.65804430486e-06,0.000350740141412,2.39141005508e-05,0.0,3.18854674011e-05,0.00206458401422,7.97136685027e-06,0.000538067262393,3.98568342514e-06,3.98568342514e-06,0.00058988114692,0.0007293800668,0.0,0.00013152755303,2.39141005508e-05,0.000561981362944,3.98568342514e-06,0.000203269854682,0.000526110212118,5.97852513771e-05,0.000514153161843,1.99284171257e-05,0.000175370070706,0.000103627769054
Bajhang,7.68604061304e-05,0.101952766718,0.726489682771,0.113102649634,0.00049703062631,0.000102480541507,0.000276697462069,0.0,0.00205473485722,0.0013937353645,0.0,0.000912076819414,0.000261325380843,0.0521984638167,0.000681495601023,195159.0,0.162,0.568,0.063,54.97,48.05,45.32,0.1281,0.632,0.3291,5322.0,0.0269113901998,0.0267166771709,0.0265527083045,0.0,0.000440666328481,0.0260351815699,0.0266193206565,0.0262247705717,0.0262606387612,0.0192868379117,0.00626668511316,0.0150185233579,7.18900998673e-05,0.000298372096598,1.87026988251e-06,0.000466286463858,6.66123519797e-05,1.53720812261e-05,2.56201353768e-05,0.000988937225544,0.0,0.000686619628098,0.0,0.000251077326693,1.02480541507e-05,0.0007071157364,0.0,5.12402707536e-06,5.12402707536e-06,0.000461162436782,2.04961083014e-05,0.000102480541507,0.00126051066054,0.000174216920562,0.000855712521585,0.000133224703959,3.58681895275e-05,0.000230581218391
Bajura,0.0,0.0700160104364,0.65389290797,0.203199122391,0.000103771347249,0.000111183586338,0.0405227111006,0.000689338235294,0.00314278937381,0.0145205763757,0.000741223908918,0.00045214658444,0.000318726280835,0.0104364326376,0.0018530597723,134912.0,0.199,0.641,0.082,55.48,41.17,43.28,0.1379,0.508,0.3153,3646.0,0.025512926945,0.025349857685,0.025097841556,0.0,0.00107477466793,0.0239637689753,0.0254462167932,0.0254388045541,0.0246753439279,0.00811640180266,0.00916893975332,0.0082942955408,7.83473671727e-05,0.000643530597723,2.69805502846e-06,0.000704162713472,0.0,2.22367172676e-05,7.41223908918e-06,0.00213472485769,0.0,0.000296489563567,0.0,7.41223908918e-06,0.0,0.00108218690702,0.0,0.0,0.0,0.000318726280835,0.000170481499051,7.41223908918e-06,0.000148244781784,0.0,0.000259428368121,7.41223908918e-06,0.0,0.0
Banke,0.000578042917651,0.0664688294427,0.194220384968,0.0679505732598,0.0153914103637,0.0435893208606,0.125246024428,0.022515178715,0.0668677604704,0.00644395731438,0.189895239898,0.0129123389774,0.00508433524047,0.0248192089361,0.158017394207,491313.0,0.066,0.264,0.024,43.69,24.83,32.1,0.0784,0.448,0.0487,13593.0,0.024033559055,0.0231644593162,0.0225457091508,0.0167998811348,0.000614679440601,0.0207138830033,0.024033559055,0.0231644593162,0.0225457091508,0.0121938560551,0.0116829800962,0.0098084113386,7.32119850279e-05,0.000184322417685,9.66797133396e-07,0.000201500876224,2.84950734053e-05,1.83182614749e-05,0.000107874206463,0.00256455660648,6.10608715829e-06,0.000309375082687,1.62828990888e-05,3.86718853358e-05,1.62828990888e-05,0.000722553647064,0.0,2.44243486332e-05,8.14144954438e-06,0.000455921174486,8.14144954438e-06,6.10608715829e-05,0.00016689971566,1.83182614749e-05,0.000134333917482,2.0353623861e-05,1.62828990888e-05,2.0353623861e-05
Bara,7.27052760765e-05,0.0431753011453,0.0356852036039,0.00596328674379,0.0109290570998,0.111857067244,0.362694632024,0.0782352393749,0.0157261512153,0.053627411634,0.130628115421,0.00841636275861,0.00142356930558,0.0066932477156,0.134872649438,687708.0,0.072,0.299,0.025,56.75,21.78,40.09,0.0624,0.396,0.0396,17245.0,0.0245889243691,0.0239462097285,0.0232046159126,0.0133530510042,0.000444956289588,0.0220006165407,0.0246180064795,0.0237760793825,0.0231217318978,0.0112300569428,0.0127655923735,0.0102209077108,2.77152512404e-05,0.000128804667097,6.64526223339e-07,0.000151226974239,2.90821104306e-06,1.45410552153e-06,6.25265374258e-05,0.00152971900865,1.30869496938e-05,0.000205028878536,0.0,3.19903214736e-05,9.8879175464e-05,0.00168967061602,0.0,1.59951607368e-05,1.01787386507e-05,0.000894274895741,0.000321357320258,0.000338806586516,0.000238473305531,3.63526380382e-05,0.000250106149703,0.00019921245645,4.9439587732e-05,2.61738993875e-05
Bardiya,6.79831964292e-05,0.0871591463186,0.145176943851,0.0840600502607,0.00318583323956,0.0136833764675,0.0323787554855,0.0205285810735,0.0380237050373,0.00599424252654,0.0259555155471,0.00562385131841,0.000743126664416,0.00597314429316,0.531445744721,426576.0,0.071,0.287,0.025,43.46,26.37,32.3,0.0884,0.506,0.0214,7740.0,0.019262687071,0.0189532463148,0.019063425978,0.0169981433555,9.14256779566e-05,0.0180671205131,0.019262687071,0.0189532463148,0.019063425978,0.0105327069502,0.00812750834552,0.00821658977533,9.1800757661e-05,0.000192650313192,1.09241963917e-06,0.000218015078204,1.40654889164e-05,7.0327444582e-06,0.000192228348524,0.0043345148344,1.40654889164e-05,0.000541521323281,0.0,0.0,2.81309778328e-05,0.00312019429129,0.0,2.34424815273e-05,4.68849630546e-06,0.00121666479127,4.68849630546e-06,6.0950451971e-05,0.000452439893477,0.000107835415026,0.000363358463674,0.000363358463674,6.32947001238e-05,0.00010314691872
Bhaktapur,0.000131297780083,0.142303816498,0.214602939101,0.0172590931919,0.00183488647666,0.000416870451763,0.00791725613899,0.000331526894709,0.0475855979465,0.0937170729786,0.00494336142012,0.455842915336,0.000679466011928,0.00604298032831,0.00639091944553,304651.0,0.029,0.125,0.01,21.87,22.58,19.43,0.0331,0.269,0.1825,3266.0,0.0158246649445,0.0164778714004,0.0172295511914,0.0138880226883,0.000321679561203,0.0179681012043,0.015873901612,0.0164778714004,0.0172689405254,0.00981779150569,0.00166748180705,0.00869191304148,0.00028590091613,0.00030086886306,1.88084069969e-06,0.000338091783713,9.84733350621e-06,3.28244450207e-05,6.56488900414e-06,0.000525191120331,3.28244450207e-06,0.000643359122406,3.28244450207e-06,1.64122225103e-05,0.00049236667531,0.000561298009854,0.0,1.31297780083e-05,0.0,0.000643359122406,0.000288855116182,0.000262595560166,0.000210076448132,0.000354504006224,0.000344656672717,4.5954223029e-05,3.61068895228e-05,4.5954223029e-05
