,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Poverty Severity,Adult illiteracy rate,Children <5 years malnourished,Sanitation Coverage (%,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Acute Flacid Paralysis,Chicken pox,Diptheria,Hepatatis-B,Measles,Mumps,Neonatal Tetanus,Rubella,Tetanus,Tuberculosis,Whooping cough,Alcoholism,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,caste_diversity,Vacc_Access
Achham,0,0.102036298,0.581749049,0.135157703,0.00010098,0,0.004920828,0,0.006921007,0.002637129,0.000998147,0.000493248,0.001743845,0.162239734,0.001002031,0.047,54.92,0.592,19.08,87,1.94E-05,0.001238946,0.000147586,0.005177161,2.72E-05,0.000322359,0,0.000104864,0.000108748,0.000271869,3.88E-06,2.33E-05,7.77E-06,0.000357313,0,0.000275753,0.000866097,0.000135934,0.001052521,0.000260217,5.83E-05,0.000182541,0.393517063,1.238401501
Arghakhanchi,0,0.327664548,0.193248057,0.209019794,0.001603991,6.58E-05,0.001057521,0,0.193349255,0.034726158,0.008971219,0.027971179,0,0.00113848,0.001184019,0.024,34.43,0.31,46.2,77,5.06E-05,0,6.07E-05,0.001052461,0,0.001082821,0,0.000344074,0.000101198,0.000986682,0,2.53E-05,0,0.000247936,0,9.61E-05,0.001786148,0.000106258,0.002337678,8.10E-05,0.000126498,0.000111318,0.227857246,0.249468371
Baglung,4.47E-05,0.195385182,0.205600622,0.26323,0.001165245,0,0.000926984,0,0.308175703,0.009563945,0.002762338,0.010721745,0,0.001786957,0.000636604,0.018,34.46,0.429,59.32,78,0,0.000215924,1.49E-05,0.001913534,7.45E-06,0.001176414,0,3.72E-05,3.35E-05,0.001113126,0,4.10E-05,0,0.0003425,0,0.00039462,0.003190464,0.000134022,0.000658941,0.000234538,0.00022337,0.000398343,0.244929155,0.12376082
Baitadi,5.18E-05,0.185497692,0.603898796,0.083153313,0.001610216,0.000127542,0.052499422,0,0.003870099,0.000617781,8.37E-05,0.000482268,0.000135513,0.066975424,0.000996421,0.046,45.15,0.592,25.59,88,0.000282984,0,3.19E-05,0.002279811,3.99E-06,0.000538067,0,5.98E-05,1.99E-05,0.000358712,0,7.97E-06,7.97E-06,0.000657638,3.99E-06,0.000119571,0.000282984,6.38E-05,0.000653652,2.39E-05,1.59E-05,3.99E-06,0.413278741,0.269447565
Bajhang,7.69E-05,0.101952767,0.726489683,0.11310265,0.000497031,0.000102481,0.000276697,0,0.002054735,0.001393735,0,0.000912077,0.000261325,0.052198464,0.000681496,0.063,54.97,0.632,14.03,91,5.12E-06,5.12E-06,2.56E-05,0.001655061,0,0.000404798,0,0,3.07E-05,0.00034331,0,3.07E-05,1.02E-05,0.000302318,5.64E-05,4.61E-05,0.000312566,5.12E-05,0.000389426,8.20E-05,3.07E-05,4.61E-05,0.553706384,0.508580676
Bajura,0,0.07001601,0.653892908,0.203199122,0.000103771,0.000111184,0.040522711,0.000689338,0.003142789,0.014520576,0.000741224,0.000452147,0.000318726,0.010436433,0.00185306,0.082,55.48,0.508,10.57,95,0,5.19E-05,6.67E-05,0.000978416,7.41E-06,0.000548506,0,7.41E-06,7.41E-06,0.000800522,0,0,0,0.000311314,0.000674514,7.41E-06,0.000163069,0,9.64E-05,1.48E-05,0,0,0.475744581,1.541822909
Banke,0.000578043,0.066468829,0.194220385,0.067950573,0.01539141,0.043589321,0.125246024,0.022515179,0.06686776,0.006443957,0.18989524,0.012912339,0.005084335,0.024819209,0.158017394,0.024,43.69,0.448,35.97,99,2.04E-06,2.44E-05,2.24E-05,0.002141201,0,0.000185218,4.07E-06,4.07E-06,1.42E-05,0.000301234,0,8.14E-06,4.07E-06,0.000276809,0,1.83E-05,0.000111945,4.07E-06,0.000199466,2.04E-06,2.04E-06,1.42E-05,0.131438795,0.043439579
Bara,7.27E-05,0.043175301,0.035685204,0.005963287,0.010929057,0.111857067,0.362694632,0.078235239,0.015726151,0.053627412,0.130628115,0.008416363,0.001423569,0.006693248,0.134872649,0.025,56.75,0.396,19.06,104,8.72E-06,0,9.60E-05,0.001670767,2.91E-06,0.000245744,1.45E-06,1.60E-05,6.83E-05,0.001432294,0,1.02E-05,0,0.000897183,0.000561285,1.31E-05,0.000216662,2.33E-05,6.98E-05,3.34E-05,1.16E-05,1.74E-05,0.191967912,0.130062141
Bardiya,6.80E-05,0.087159146,0.145176944,0.08406005,0.003185833,0.013683376,0.032378755,0.020528581,0.038023705,0.005994243,0.025955516,0.005623851,0.000743127,0.005973144,0.531445745,0.025,43.46,0.506,39.16,93,0,0.000616537,7.03E-05,0.011854863,2.34E-06,0.000839241,0,0,4.92E-05,0.001708957,0,1.88E-05,0,0.001305746,2.34E-06,2.58E-05,0.000192228,7.03E-06,0.00018754,0.00034226,9.38E-06,7.03E-06,0.322064209,0.008611102
Bhaktapur,0.000131298,0.142303816,0.214602939,0.017259093,0.001834886,0.00041687,0.007917256,0.000331527,0.047585598,0.093717073,0.004943361,0.455842915,0.000679466,0.00604298,0.006390919,0.01,21.87,0.269,87.1,103,6.56E-06,0,4.92E-05,0.000781222,9.85E-06,0.00060397,0,2.95E-05,0.000279008,0.000791069,0,8.21E-05,0,0.000377481,0.000328244,0.000272443,0.00029542,8.53E-05,0.000361069,0.000361069,1.31E-05,5.58E-05,0.285611327,-1.417528231
